и	ˈi
каждый	kˈɑʒdyj
круг	krˈuk
сам	sˈɑm
уровень	ˈurʌvʲinʲ
первый	pʲˈervyj
урон	urˈon
бой	bˈoj
чтобы	ʃtˈoby
маст	mˈɑst
л	ˈɛɭ
выше	vˈyʃy
время	vrʲˈemʲʌ
этом	ˈɛtʌm
голоса	ɡʌɭˈosa
часть	tʃʲˈɑstʲ
почему	pʌtʃʲimˈu
глубина	ɡɭubʲinˈɑ
ниже	nʲˈiʒy
тип	tʲˈip
записи	zˈɑpʲisʲɪ
знак	znˈɑk
след	sɭʲˈet
нельзя	nʲiɭʲʑˈɑ
ней	nʲˈej
форма	fˈorma
ц	tsˈɛ
шесть	ʃˈɛstʲ
ход	xˈot
между	mʲˈeʒdu
после	pˈosɭʲi
артефакт	artʲifˈɑkt
шаги	ʃaɡʲˈɪ
опыт	ˈopyt
ок	ˈok
был	byɭ
грани	ɡrˈɑnʲɪ
оружие	ʌrˈuʒyjɪ
двойное	dvʌjnˈojɪ
одной	ʌdnˈoj
з	zˈɛ
оно	ʌnˈo
враг	vrˈɑk
ровно	rˈovnʌ
глава	ɡɭavˈɑ
яруса	ˈjarusa
умение	umʲˈenʲijɪ
дверь	dvʲˈerɪ
память	pˈɑmʲʌtʲ
тьма	tʲmˈɑ
откат	ʌtkˈɑt
восемь	vˈosʲimʲ
называет	nʌzyvˈɑjit
звучит	zvutʃʲˈit
добыча	dʌbˈytʃʲʌ
лежит	ɭʲiʒˈyt
шагов	ʃaɡˈof
дороже	dʌrˈoʒy
две	dvʲˈe
вокруг	vʌkrˈuk
срок	srˈok
бьёт	bjˈɵt
стороны	stʌrˈony
запись	zˈɑpʲisʲ
порог	pʌrˈok
куда	kudˈɑ
дороги	dʌrˈoɡʲɪ
силы	sʲˈiɭy
состояние	sʌstʌˈjanʲijɪ
меньше	mʲˈenʲʃy
здоровье	zdʌrˈovjjɪ
ж	ʒˈɛ
растёт	rasʲtʲˈɵt
нрав	nrˈɑf
действий	dʲˈejstvʲij
всех	fsʲˈex
б	bˈɛ
опасность	ʌpˈɑsnʌstʲ
двенадцать	dvʲinˈɑttsʌtʲ
земля	ʑimɭʲˈɑ
доля	dˈoɭʲʌ
внутри	vnutrʲˈɪ
тварь	tvˈɑrɪ
работа	rabˈota
та	tˈɑ
мире	mʲˈirʲi
вдвое	vdvˈojɪ
вам	vˈɑm
двадцать	dvˈɑttsʌtʲ
откуда	ʌtkˈuda
пункт	pˈunkt
шага	ʃˈɑɡa
войны	vˈojny
ремесло	rʲimʲisɭˈo
семь	sʲˈemʲ
родов	rˈodʌf
стоят	stʌˈjat
этой	ˈɛtʌj
поле	pˈoɭʲi
грибы	ɡrʲibˈy
гранью	ɡrˈɑnjju
ногами	nʌɡˈɑmʲɪ
выбор	vˈybʌr
ягоды	ˈjaɡʌdy
десять	dʲˈesʲʌtʲ
пути	putʲˈɪ
народа	narˈoda
ли	ɭʲˈɪ
считается	ɕitˈɑjitsʌ
народ	narˈot
оп	ˈop
кого	kʌvˈo
говорят	ɡʌvʌrʲˈɑt
предел	prʲidʲˈeɭ
над	nɑt
следом	sɭʲˈedʌm
идут	ɪdˈut
область	ˈobɭʌstʲ
держится	dʲˈerʒytsʌ
сразу	srˈɑzu
знает	znˈɑjit
заклинание	zʌkɭʲinˈɑnʲijɪ
воды	vˈody
речь	rʲˈetʃʲ
п	pˈɛ
отвечает	ʌtvʲitʃʲˈɑjit
пять	pʲˈɑtʲ
те	tʲˈe
риск	rʲˈisk
неё	nʲiˈɵ
подземелье	pʌdʲʑimʲˈeɭjjɪ
одного	ʌdnʌvˈo
огонь	ʌɡˈonʲ
пальцами	pˈɑɭʲtsʌmʲɪ
вверх	vvʲˈerx
друг	drˈuk
остаётся	ʌstaˈɵtsʌ
ст	ˌɛstˈɛ
том	tˈom
путь	pˈutʲ
нужен	nˈuʒyn
нём	nʲˈɵm
н	ˈɛn
годные	ɡˈodnyjɪ
глубины	ɡɭubʲˈiny
узел	ˈuʑiɭ
навык	nˈɑvyk
сеть	sʲˈetʲ
грань	ɡrˈɑnʲ
история	ɪstˈorʲija
подземелья	pʌdʲʑimʲˈeɭjja
против	prˈotʲif
печать	pʲitʃʲˈɑtʲ
той	tˈoj
р	ˈɛr
бог	bˈok
хватает	xvatˈɑjit
договор	dʌɡʌvˈor
учат	ˈutʃʲʌt
дел	dʲˈeɭ
дешевле	dʲiʃˈɛvɭʲi
палец	pˈɑɭʲits
тут	tˈut
ночь	nˈotʃʲ
чаще	tʃʲˈɑɕi
зов	zˈof
треб	trʲˈep
месте	mʲˈesʲtʲi
знание	znˈɑnʲijɪ
стены	sʲtʲˈeny
книги	knʲˈiɡʲɪ
своим	svʌˈim
плата	pɭˈɑta
станок	stanˈok
дать	dˈɑtʲ
одним	ʌdnʲˈim
сети	sʲˈetʲɪ
который	kʌtˈoryj
именно	ˈɪmʲinnʌ
полки	pˈoɭkʲɪ
станки	stankʲˈɪ
здоровья	zdʌrˈovjja
база	bˈɑza
вслух	fsɭˈux
делает	dʲˈeɭʌjit
чужой	tʃʲuʒˈoj
потому	pʌtʌmˈu
такой	takˈoj
защита	zaɕˈita
книга	knʲˈiɡa
тех	tʲˈex
своей	svʌjˈej
держат	dʲˈerʒʌt
цепь	tsˈɛpʲ
стало	stˈɑɭʌ
пальцем	pˈɑɭʲtsym
язык	jazˈyk
торговец	tʌrɡˈovʲits
чудо	tʃʲˈudʌ
ветер	vʲˈetʲir
клетки	kɭʲˈetkʲɪ
лес	ɭʲˈes
ним	nʲˈim
эффект	ɛffʲˈekt
черта	tʃʲˈerta
эхо	ˈɛxʌ
которой	kʌtˈorʌj
бога	bˈoɡa
берётся	bʲirʲˈɵtsʌ
себя	sʲibʲˈɑ
редкость	rʲˈetkʌstʲ
выводится	vyvˈodʲitsʌ
жрецы	ʒrʲitsˈy
закрыть	zakrˈytʲ
рода	rˈoda
вовсе	vˈofsʲi
во	vˈo
каждая	kˈɑʒdʌja
выходит	vyxˈodʲit
нечего	nʲˈetʃʲivʌ
дорога	dʌrˈoɡa
имени	ˈɪmʲinʲɪ
часа	tʃʲˈɑsa
лет	ɭʲˈet
карта	kˈɑrta
рынок	rˈynʌk
действие	dʲˈejstvʲijɪ
тому	tˈomu
почти	pʌtʃʲtʲˈɪ
этот	ˈɛtʌt
яд	ˈjat
культ	kˈuɭʲt
плитка	pɭʲˈitka
игрока	ɪɡrʌkˈɑ
тварей	tvˈɑrʲij
двор	dvˈor
набор	nabˈor
двух	dvˈux
кровь	krˈofʲ
часы	tʃʲasˈy
ярусе	ˈjarusʲi
двумя	dvumʲˈɑ
сторону	stˈorʌnu
войско	vˈojskʌ
ракушка	rakˈuʃka
маны	mˈɑny
сама	samˈɑ
работает	rabˈotʌjit
быть	bytʲ
клана	kɭˈɑna
дают	daˈjut
потом	pˈotʌm
городе	ɡˈorʌdʲi
времени	vrʲˈemʲinʲɪ
уходит	uxˈodʲit
сперва	spʲirvˈɑ
соль	sˈolʲ
об	ˈop
цены	tsˈɛny
такого	takˈovʌ
связь	svʲˈɑsʲ
сем	sʲˈem
может	mˌoʒyt
решает	rʲiʃˈɑjit
итог	ɪtˈok
табу	tabˈu
святое	svʲatˈojɪ
био	bʲˈiʌ
вами	vˈɑmʲɪ
чар	tʃʲˈɑr
события	sʌbˈytʲija
осталось	ʌstˈɑɭʌsʲ
что-то	ʃtotˈo
действия	dʲˈejstvʲija
ресурсы	rʲisˈursy
само	samˈo
ночью	nˈotʃʲjju
двери	dvʲˈerʲɪ
порода	pʌrˈoda
целиком	tsyɭʲikˈom
рука	rukˈɑ
словом	sɭˈovʌm
дважды	dvˈɑʒdy
торг	tˈork
тоже	tˈoʒy
ярусов	ˈjarusʌf
дня	dnʲˈɑ
прямо	prʲˈɑmʌ
кости	kˈosʲtʲɪ
помнит	pˈomnʲit
обоз	ʌbˈos
стража	strˈɑʒa
клетке	kɭʲˈetkʲi
платит	pɭˈɑtʲit
землёй	ʑimɭʲˈɵj
строки	strˈokʲɪ
окна	ˈokna
ста	stˈɑ
видно	vʲˈidnʌ
никто	nʲiktˈo
часов	tʃʲasˈof
золотых	zʌɭʌtˈyx
снабжение	snabʒˈɛnʲijɪ
море	mˈorʲi
сегодня	sʲivˈodnʲʌ
держав	dʲirʒˈɑf
своего	svʌjivˈo
быстрее	bystrʲˈejɪ
встречи	fstrʲˈetʃʲɪ
ему	jɪmˈu
трёх	trʲˈɵx
нашли	naʃɭʲˈɪ
себе	sʲibʲˈe
руки	rˈukʲɪ
каждое	kˈɑʒdʌjɪ
были	bˌyɭʲɪ
алтарь	aɭtˈɑrɪ
чужая	tʃʲuʒˈɑja
ходы	xʌdˈy
бывает	byvˈɑjit
сто	stˈo
чужое	tʃʲuʒˈojɪ
припас	prʲipˈɑs
мораль	mʌrˈɑlʲ
шк	ʃˌɑkˈɑ
житель	ʒˈytʲilʲ
отдаёт	ʌddaˈɵt
наверху	nʌvʲirxˈu
я	ˈja
живёт	ʒyvʲˈɵt
страж	strˈɑʃ
слой	sɭˈoj
одну	ʌdnˈu
девять	dʲˈevʲʌtʲ
вещей	vʲiɕˈej
свиток	svʲˈitʌk
пол	pˈoɭ
платят	pɭˈɑtʲʌt
вместе	vmʲˈesʲtʲi
раздел	raʑdʲˈeɭ
событие	sʌbˈytʲijɪ
камня	kˈɑmnʲʌ
ворота	vʌrˈota
жила	ʒˈyɭa
находка	naxˈotka
пул	pˈuɭ
чужие	tʃʲuʒˈyjɪ
пн	pˌɛˈɛn
считают	ɕitˈɑjut
просто	prˈostʌ
тело	tʲˈeɭʌ
подряд	pʌdrʲˈɑt
возвращает	vʌzvraɕˈɑjit
пальца	pˈɑɭʲtsa
ведёт	vʲidʲˈɵt
игре	ɪɡrʲˈe
крыло	krˈyɭʌ
нужда	nuʒdˈɑ
умения	umʲˈenʲija
разом	rˈɑzʌm
награда	naɡrˈɑda
пошлина	pˈoʃɭʲina
качество	kˈɑtʃʲistvʌ
игры	ˈɪɡry
назад	nazˈɑt
народов	narˈodʌf
дождь	dˈoʃtʲ
живая	ʒyvˈɑja
двенадцати	dvʲinˈɑttsʌtʲɪ
человек	tʃʲiɭʌvʲˈek
водой	vʌdˈoj
молчит	mʌɭtʃʲˈit
записей	zˈɑpʲisʲij
первого	pʲˈervʌvʌ
имена	ɪmʲinˈɑ
пепел	pʲˈepʲiɭ
орден	ˈordʲin
осколок	ʌskˈoɭʌk
пусто	pˈustʌ
живой	ʒyvˈoj
ходит	xˈodʲit
будет	bˌudʲit
зал	zˈɑɭ
рукой	rukˈoj
дозор	dʌzˈor
вместо	vmʲˈestʌ
про	prˈo
открыть	ʌtkrˈytʲ
одному	ʌdnʌmˈu
строка	strʌkˈɑ
чему	tʃʲimˈu
правило	prˈɑvʲiɭʌ
свойств	svˈojstf
взять	vʑˈɑtʲ
державе	dʲirʒˈɑvʲi
книг	knʲˈik
хуже	xˈuʒy
какой	kakˈoj
идти	ɪtʲtʲˈɪ
приходит	prʲixˈodʲit
метка	mʲˈetka
гул	ɡˈuɭ
кто-то	ktˈotʌ
способ	spˈosʌp
была	byɭˈɑ
меняет	mʲinʲˈɑjit
открывает	ʌtkryvˈɑjit
тридцать	trʲˈittsʌtʲ
второе	ftʌrˈojɪ
сильнее	sʲiɭʲnʲˈejɪ
землях	ʑˈemɭʲʌx
клан	kɭˈɑn
хочет	xˈotʃʲit
дольше	dˈoɭʲʃy
врата	vratˈɑ
земле	ʑimɭʲˈe
ловушки	ɭʌvˈuʃkʲɪ
клетка	kɭʲˈetka
ложится	ɭʌʒˈytsʌ
цену	tsˈɛnu
высота	vysʌtˈɑ
словами	sɭʌvˈɑmʲɪ
таверна	tavʲˈerna
мера	mʲˈera
сорок	sʌrˈok
магия	mˈɑɡʲija
четырёх	tʃʲityrʲˈɵx
текст	tʲˈekst
перед	pʲirʲˈet
снизу	sʲnʲˈizu
торговый	tʌrɡˈovyj
поля	pˈoɭʲʌ
железо	ʒyɭʲˈezʌ
руками	rukˈɑmʲɪ
беда	bʲidˈɑ
касания	kasˈɑnʲija
речи	rʲˈetʃʲɪ
сторона	stʌrʌnˈɑ
собой	sʌbˈoj
торговля	tʌrɡˈovɭʲʌ
последний	pʌsɭʲˈednʲij
первой	pʲˈervʌj
цепи	tsˈɛpʲɪ
башня	bˈɑʃnʲʌ
примета	prʲimʲˈeta
лёд	ɭʲˈɵt
благосклонность	bɭʌɡʌskɭˈonnʌstʲ
контроль	kʌntrˈolʲ
круги	kruɡʲˈɪ
спец	spʲˈets
сами	sˈɑmʲɪ
уровня	ˈurʌvnʲʌ
клинок	kɭʲinˈok
тема	tʲˈema
считает	ɕitˈɑjit
люди	ɭʲˈudʲɪ
число	tʃʲisɭˈo
туда	tudˈɑ
ярусы	ˈjarusy
свод	svˈot
запрет	zaprʲˈet
одном	ʌdnˈom
прежде	prʲˈeʒdʲi
заклинания	zʌkɭʲinˈɑnʲija
сюда	sʲudˈɑ
гр	ɡˌɛˈɛr
площадь	pɭˈoɕʌtʲ
крепость	krʲˈepʌstʲ
ступеней	stupʲˈenʲij
памяти	pˈɑmʲʌtʲɪ
урок	urˈok
которого	kʌtˈorʌvʌ
другой	druɡˈoj
нему	nʲimˈu
продать	prʌdˈɑtʲ
поверх	pʌvʲˈerx
тянет	tʲˈɑnʲit
переход	pʲirʲixˈot
стена	sʲtʲinˈɑ
своих	svʌˈix
третий	trʲˈetʲij
которые	kʌtˈoryjɪ
дней	dnʲˈej
сл	ˌɛsˈɛɭ
скорость	skˈorʌstʲ
богов	bʌɡˈof
конец	kʌnʲˈets
плюс	pɭʲˈus
огня	ʌɡnʲˈɑ
постройки	pʌstrˈojkʲɪ
небо	nʲˈebʌ
гроза	ɡrʌzˈɑ
отсюда	ʌtʲsʲˈuda
слиток	sɭʲˈitʌk
улики	uɭʲˈikʲɪ
звуки	zvˈukʲɪ
глубин	ɡɭubʲˈin
насколько	naskˈoɭʲkʌ
политика	pʌɭʲˈitʲika
карты	kˈɑrty
значит	znˈɑtʃʲit
тихо	tʲˈixʌ
сундук	sundˈuk
клеток	kɭʲˈetʌk
палата	paɭˈɑta
сон	sˈon
сверх	svʲˈerx
стр	ˌɛstˌɛˈɛr
музыка	mˈuzyka
света	svʲˈeta
народы	narˈody
тишина	tʲiʃynˈɑ
ветви	vʲˈetvʲɪ
кому	kʌmˈu
конца	kʌntsˈɑ
дороге	dʌrˈoɡʲi
мимо	mʲˈimʌ
сверху	svʲˈerxu
слава	sɭˈɑva
оси	ˈosʲɪ
низ	nʲˈis
ремесла	rʲimʲisɭˈɑ
другое	druɡˈojɪ
земель	ʑimʲˈelʲ
весь	vʲˈesʲ
даже	dˈɑʒy
становится	stanˈovʲitsʌ
отдельно	ʌdʲdʲˈeɭʲnʌ
жилы	ʒˈyɭy
зверь	zvʲˈerɪ
год	ɡˈot
свою	svʌˈju
школ	ʃkˈoɭ
маяк	maˈjak
дорого	dˈorʌɡʌ
оберег	ʌbʲirʲˈek
взято	vʑˈɑtʌ
эфир	ɛfʲˈir
металл	mʲitˈɑɭɭ
конфликт	kʌnfɭʲˈikt
ред	rʲˈet
окне	ʌknʲˈe
собрать	sʌbrˈɑtʲ
всем	fsʲˈem
тогда	tʌɡdˈɑ
заклинаний	zʌkɭʲinˈɑnʲij
заново	zˈɑnʌvʌ
кузнец	kuʑnʲˈets
которых	kʌtˈoryx
травы	trˈɑvy
район	rajˈon
жест	ʒˈɛst
общий	ˈopɕij
искать	ɪskˈɑtʲ
реже	rʲˈeʒy
ними	nʲˈimʲɪ
каждом	kˈɑʒdʌm
меч	mʲˈetʃʲ
случай	sɭˈutʃʲʌj
глубже	ɡɭˈubʒy
глубине	ɡɭubʲinʲˈe
вышло	vˈyʃɭʌ
работы	rabˈoty
узлы	uzɭˈy
сквозь	skvˈosʲ
вера	vʲˈera
полка	pˈoɭka
долг	dˈoɭk
самоцвет	sʌmʌtsvʲˈet
усиление	usʲiɭʲˈenʲijɪ
сопр	sˈopr
настройки	nastrˈojkʲɪ
голосом	ɡˈoɭʌsʌm
молча	mˈoɭtʃʲʌ
никогда	nʲikʌɡdˈɑ
минус	mʲˈinus
спор	spˈor
рецепт	rʲitsˈɛpt
дойти	dʌjtʲˈɪ
шахта	ʃˈɑxta
казна	kaznˈɑ
скрытность	skrˈytnʌstʲ
подвоз	pʌdvˈos
треть	trʲˈetʲ
весть	vʲˈestʲ
кнопка	knˈopka
храм	xrˈɑm
вход	fxˈot
слот	sɭˈot
половина	pʌɭʌvʲˈina
ремёсла	rʲimʲˈɵsɭa
круга	krˈuɡa
раны	rˈɑny
реп	rʲˈep
ед	jˈet
должен	dˈoɭʒyn
открывается	ʌtkryvˈɑjitsʌ
живые	ʒyvˈyjɪ
возвращается	vʌzvraɕˈɑjitsʌ
меняется	mʲinʲˈɑjitsʌ
тёмных	tʲˈɵmnyx
замок	zamˈok
лестница	ɭʲˈesnʲitsa
обе	ˈobʲi
ушёл	uʃˈoɭ
порядок	pʌrʲˈɑdʌk
мест	mʲˈest
досье	dʌsʲjjˈe
столько	stˈoɭʲkʌ
второго	ftʌrˈovʌ
ключи	kɭʲutʃʲˈɪ
хвост	xvˈost
проходит	prʌxˈodʲit
порт	pˈort
стихии	sʲtʲixˈiɪ
рецепты	rʲitsˈɛpty
заряд	zarʲˈɑt
просит	prˈosʲit
снова	snˈova
горна	ɡˈorna
живое	ʒyvˈojɪ
пов	pˈof
слышит	sɭˈyʃyt
требует	trʲˈebujit
самого	sˈɑmʌvʌ
им	ˈɪm
этих	ˈɛtʲix
называется	nʌzyvˈɑjitsʌ
хода	xˈoda
учит	ˈutʃʲit
руна	rˈuna
условие	usɭˈovʲijɪ
сфера	sfʲˈera
любой	ɭʲubˈoj
слышен	sɭˈyʃyn
фронт	frˈont
говорить	ɡʌvʌrʲˈitʲ
считаются	ɕitˈɑjutsʌ
зной	znˈoj
разлом	razɭˈom
шторм	ʃtˈorm
клетку	kɭʲˈetku
мастера	masʲtʲˈera
удару	udˈɑru
тайна	tˈɑjna
тяжелее	tʲʌʒyɭʲˈejɪ
тремя	trʲimʲˈɑ
фон	fˈon
боя	bˈoja
артефакты	artʲifˈɑkty
знаний	znˈɑnʲij
пробуждение	prʌbuʒdʲˈenʲijɪ
первым	pʲˈervym
руках	rukˈɑx
щит	ɕˈit
воздух	vˈozdux
горн	ɡˈorn
эссенция	ɛsʲsʲˈentsyja
знать	znˈɑtʲ
оба	ˈoba
руды	rˈudy
происхождение	prʌisxʌʒdʲˈenʲijɪ
пепельный	pʲˈepʲiɭʲnyj
чутьё	tʃʲutʲjˈɵ
множ	mnˈoʃ
сторон	stʌrˈon
новое	nˈovʌjɪ
купить	kupʲˈitʲ
ваш	vˈɑʃ
ответ	ʌtvʲˈet
ведут	vʲidˈut
тяжёлый	tʲaʒˈoɭyj
спуск	spˈusk
магии	mˈɑɡʲiɪ
закон	zakˈon
бою	bˈoju
правит	prˈɑvʲit
сутки	sˈutkʲɪ
воду	vˈodu
решение	rʲiʃˈɛnʲijɪ
нить	nʲˈitʲ
союз	sʌˈjus
сп	ˌɛspˈɛ
нужна	nuʒnˈɑ
звуков	zvˈukʌf
кнопки	knˈopkʲɪ
людей	ɭʲudʲˈej
лучше	ɭˈutʃy
камнем	kˈɑmnʲim
остальное	ʌstaɭʲnˈojɪ
цене	tsynʲˈe
горы	ɡˈory
несколько	nʲˈeskʌɭʲkʌ
дыхание	dyxˈɑnʲijɪ
колодец	kʌɭˈodʲits
силу	sʲˈiɭu
жители	ʒˈytʲiɭʲɪ
сетка	sʲˈetka
чужих	tʃʲuʒˈyx
устойчивость	ustˈojtʃʲivʌstʲ
стиль	sʲtʲˈilʲ
сотых	sˈotyx
кратко	krˈɑtkʌ
хозяин	xʌʑˈɑin
наследники	nasɭʲˈednʲikʲɪ
звука	zvˈuka
живут	ʒyvˈut
ждёт	ʒdʲˈɵt
какие	kakʲˈijɪ
пара	pˈɑra
четверть	tʃʲˈetvʲirtʲ
башни	bˈɑʃnʲɪ
вести	vʲˈesʲtʲɪ
руку	rˈuku
станка	stankˈɑ
совет	sʌvʲˈet
своими	svʌˈimʲɪ
мастер	mˈɑsʲtʲir
дальность	dˈɑɭʲnʌstʲ
такт	tˈɑkt
другого	druɡˈovʌ
пунктов	pˈunktʌf
сложность	sɭˈoʒnʌstʲ
начинается	nʌtʃʲinˈɑjitsʌ
первое	pʲˈervʌjɪ
страница	stranʲˈitsa
обычного	ʌbˈytʃʲnʌvʌ
торговца	tʌrɡˈoftsa
разговор	rʌzɡʌvˈor
открыто	ʌtkrˈytʌ
умеет	umʲˈejit
стражи	strˈɑʒy
сердце	sʲˈertsy
птицы	ptʲˈitsy
удары	udˈɑry
волна	vʌɭnˈɑ
обратно	ʌbrˈɑtnʌ
сбор	zbˈor
выбрано	vˈybrʌnʌ
знаете	znˈɑjitʲi
специализация	spʲitsyʌɭʲizˈɑtsyja
ходят	xˈodʲʌt
смотрит	smˈotrʲit
улица	ˈuɭʲitsa
тень	tʲˈenʲ
дань	dˈɑnʲ
кожа	kˈoʒa
дорогу	dʌrˈoɡu
письмо	pʲisʲmˈo
сохранения	sʌxranʲˈenʲija
иногда	ɪnʌɡdˈɑ
отклик	ˈotkɭʲik
крепости	krʲˈepʌsʲtʲɪ
сделать	ʑdʲˈeɭʌtʲ
вполсилы	fpʌɭsʲˈiɭy
чём	tʃʲˈɵm
вперёд	fpʲirʲˈɵt
десяти	dʲisʲatʲˈɪ
дна	dnˈɑ
внизу	vnʲizˈu
туман	tumˈɑn
вернуться	vʲirnˈutsʌ
факел	fˈɑkʲiɭ
источник	ɪstˈotʃʲnʲik
заслуги	zasɭˈuɡʲɪ
которое	kʌtˈorʌjɪ
тысяч	tˈysʲʌtʃʲ
потолок	pʌtʌɭˈok
ваше	vˈɑʃy
исцеление	ɪstsyɭʲˈenʲijɪ
тепло	tʲipɭˈo
комнат	kˈomnʌt
страх	strˈɑx
зелье	ʑˈeɭjjɪ
знач	znˈɑtʃʲ
тяж	tʲˈɑʃ
высоты	vysˈoty
пороги	pʌrˈoɡʲɪ
короткий	kʌrˈotkʲij
молва	mʌɭvˈɑ
списке	spʲˈiskʲi
разных	rˈɑznyx
вторая	ftʌrˈɑja
шестнадцать	ʃysnˈɑttsʌtʲ
свойства	svˈojstva
общее	ˈopɕijɪ
координат	kʌʌrdʲinˈɑt
палаты	paɭˈɑty
признак	prʲˈiznʌk
пор	pˈor
свойство	svˈojstvʌ
радиус	rˈɑdʲius
рознь	rˈoʑnʲ
ваша	vˈɑʃa
сумма	sˈumma
маска	mˈɑska
дармолитвы	darmˈoɭʲitvy
игру	ɪɡrˈu
положение	pʌɭʌʒˈɛnʲijɪ
оппозиция	ʌppʌʑˈitsyja
прочих	prˈotʃʲix
списка	spʲˈiska
зависит	zavʲˈisʲit
срыв	srˈyf
удара	udˈɑra
обвал	ʌbvˈɑɭ
эту	ˈɛtu
чара	tʃʲˈɑra
координаты	kʌʌrdʲinˈɑty
котором	kʌtˈorʌm
лагерь	ɭˈɑɡʲirɪ
дёшево	dʲˈɵʃyvʌ
школе	ʃkˈoɭʲi
знают	znˈɑjut
пора	pʌrˈɑ
семья	sʲimʲjˈja
маяки	mʌjakʲˈɪ
самой	sˈɑmʌj
инвентарь	ɪnvʲintˈɑrɪ
еда	jɪdˈɑ
шпионы	ʃpʲiˈony
хотя	xʌtʲˈɑ
страницы	stranʲˈitsy
чужого	tʃʲuʒˈovʌ
